,書名,作者,出版日期,內容介紹,網址
1,思考致富.最新實證版：史上最暢銷勵志書,"拿破崙‧希爾基金會,詹姆士‧惠特克",2020-11-01,"
★「拿破崙.希爾基金會」官方認證 熱銷80年的跨時代智慧╳與時俱進的當代名人故事實證 一生必讀的成功學經典，最貼近現代讀者需求的版本!    20世紀初，成功學之父拿破崙.希爾採訪500多名成就斐然的傑出人士...more
",https://www.books.com.tw/products/0010873959?loc=P_0003_001
2,有錢人與你的差距，不只是錢,拉斐爾．巴齊亞,2020-09-17,"
──深入專訪全球收入前0.00002%的白手起家億萬富翁── 跨業種、文化、民族、宗教、種族、國別 一次解密20堂思維財富課：3大誤區╳6大技能╳6大習慣 ╳4項經營原則╳6種高效技巧 繼拿破崙‧希爾後，成為21世紀最新...more
",https://www.books.com.tw/products/0010869808?loc=P_0003_002
3,猶太人致富定律,褚競,2020-09-09,"
毫無疑問，猶太民族是一個聰明的民族、智慧的民族，他們在這個世界上的榮耀是閃著熠熠光芒的。或許我們會認為，猶太人自命為「上帝的選民」。但讀過猶太人的歷史，我們便會知道，猶太人的國家數次被別人占...more
",https://www.books.com.tw/products/0010868969?loc=P_0003_003
4,為什麼有錢人先吃最喜歡的菜?：55條思考法則，換一顆有錢人的「投資腦」【暢銷新裝版】,世野一成,2020-09-08,"
從負債兩千萬到年收入三億的理財達人，教你揮別窮忙的勞碌命! 改變金錢觀、扭轉工作觀、調整生活觀，為你的未來做好充足準備! 擺脫領薪族「忙、盲、茫」的思維，以有錢人的思考模式重新看全世界。    請先...more
",https://www.books.com.tw/products/0010868344?loc=P_0003_004
5,從Zero到Hero的致富筆記：「人生努力組」到「人生勝利組」的51個Tips(暢銷修訂版),榴槤,2020-09-03,"
這不是一本理財書， 而是一本理財之前必看的致富書。   有人說：「過去可以白手起家，但在現在這個時代，根本不可能。」其實，這全都是自己不想努力的藉口，如果當年的馬雲也有這種消極的想法，那麼他在一...more
",https://www.books.com.tw/products/0010868605?loc=P_0003_005
6,【財務自由必備書】啟動致富腦，花錢越多越有錢：《花掉的錢都會自己流回來》+《有錢人的習慣和你不一樣》,"Mentalist DaiGo,基斯．卡麥隆．史密斯",2020-09-01,"
「偷師」有錢人10個秘密習慣， 再學會「股神巴菲特」的致富秘密， 幫自己換上「致富腦」，花掉的錢都會自己流回來 再窮都能翻身，都能致富!   《花掉的錢都會自己流回來》   ★9項「心流體驗」啟動「金錢螺...more
",https://www.books.com.tw/products/0010868455?loc=P_0003_006
7,習慣致富 人生實踐版：在關鍵時刻下對決定，讓你成功達陣，樂享財務自由,湯姆‧柯利,2020-08-27,"
全球熱賣億本暢銷作家重量級新作!    人生進度轉個彎就超速   改變自己，下一個有錢人就是你!   【閱讀焦點】   ★1個簡單、保證有效、持續創造財富的方法   ★4大獲利途徑最精闢風險評估   ★22個讓你擁抱安...more
",https://www.books.com.tw/products/0010867593?loc=P_0003_007
8,慢慢致富：告別金錢焦慮，77天思考練習不再害怕負債、低薪、沒工作，打造財務幸福循環,喬納森．克雷蒙,2020-08-05,"
《華爾街日報》最受歡迎財經作者 喬納森‧克雷蒙 最新力作 77天邁向財務自由的懂「錢」思考課 一夕致富並非易事，但慢慢致富絕非難事!   ★ 想一夕致富你可以這樣做，但可能面臨……   股票當沖→花費一堆時間...more
",https://www.books.com.tw/products/0010865671?loc=P_0003_008
9,富爸爸商學院：銷售致富的財商教育,羅勃特．T．清崎,2020-07-29,"
★熱銷15年、行銷人必讀經典★ 羅勃特.T.清崎再次打破迷思，告訴你擺脫窮忙、變有錢的另一條路!   聽到「直銷」或「業務」，你的第一反應是先拒絕再說?   你知道銷售力可以帶來超越想像的成長，培養出過人的...more
",https://www.books.com.tw/products/0010865217?loc=P_0003_009
10,塔木德：猶太人的致富寶典,趙凡禹,2020-07-29,"
猶太民族是世界上最聰明、最神祕、最富有的民族之一——他們是世界上的少數人，卻擁有著世界上龐大的資產；他們遭受了千年的凌辱，備受打擊，四處流浪，卻驚人的富有；他們沒有什麼資本，卻始終處於金錢的巔...more
",https://www.books.com.tw/products/0010865219?loc=P_0003_010
