,書名,作者,出版日期,內容介紹,網址
1,木工表面處理：正確選擇和使用塗料(暢銷歐美15年，全球銷量超50萬的經典教科書),鮑勃．弗萊克斯納,2020-10-27,"
~木工表面處理扛鼎之作~   暢銷歐美15年，全球銷量超50萬的經典教科書   揭開木工表面處理奧祕   本書號稱全球最專業、權威、科學、系統化的木工表面處理教科書。   作者鮑勃.弗萊克斯納從事木作逾30年，...more
",https://www.books.com.tw/products/0010873943?loc=P_0003_001
2,珠寶金工技法全書,龔豊洋（LeoKung）,2020-09-15,"
珠寶金工輕鬆做，我的手作新提案!   基礎熔煉、鋸切、焊接、銼磨等技巧全圖解，   運用金屬片材，從平面建構到組裝出立體物件，   讓你步步打造出戒指、手環、耳環、胸針等飾品，   再運用基本金工技巧，...more
",https://www.books.com.tw/products/0010870361?loc=P_0003_002
3,金屬線編X裸石包框設計BOOK,蔡孟樺,2020-09-02,"
初學者輕鬆入門的第一本書， 基礎技巧全圖解X動態影片QRcode， 裸石鑲框設計基礎X進階，讓你循序漸進學習， 金屬線編的LESSON BOOK，帶你纏繞出個人輕時尚!    {金屬線編織是什麼?}   金屬線編織是使用金...more
",https://www.books.com.tw/products/0010869856?loc=P_0003_003
4,想了就能作!療癒木雕研究室：從設計到實作，不插電雕刻技法完全拆解,許志達,2020-06-24,"
一把小刀就能開始，從設計草稿到動手練習，找回最純粹的樂趣初心。 跟著職人這樣做，全步驟圖解不藏私，一刀一劃慢慢領悟木雕小刻學。 「浮雕-圓形-造型變化-拼接」敲敲打打，體驗手感工藝兼舒壓。 八種不...more
",https://www.books.com.tw/products/0010861274?loc=P_0003_004
5,【刻出福氣超值套書組】★ 書+進口木頭兩塊+台灣製雕刻刀組+「刻出福氣」教學紙模★,許志達,2020-06-24,"
★實體書+馬上就能動手刻的材料包★ 超值組合包括： ◆《療癒木雕研究室》實體書一本 ◆木頭 10 × 10 × 3.5 cm 兩塊 適合新手學習木雕、瞭解木紋特性的材料，選用紮實但重量較輕、容易雕刻加工的進口白木。 共...more
",https://www.books.com.tw/products/0010861275?loc=P_0003_005
6,圓滿家庭木作計畫(經典版),DOPA！編輯部,2019-10-07,"
「圓滿家庭木作計畫」收錄木工DIY基礎知識與技巧，及35種簡易裝潢與20種修繕技巧，只要按圖索驥，你也能變身家中木工裝潢達人。   多種修繕技巧以及家中木工輕家具製作，只要發揮你的創意與達人魂，舊家也...more
",https://www.books.com.tw/products/0010836051?loc=P_0003_006
7,輕裝修精選 套書限量優惠組,"Life&Foods編輯室,芭波．布萊爾",2019-09-23,"
【Café風格室內輕裝358招】   358個改造居家、商空的佈置打點技巧，   6個改造關鍵字+必買的平價材料，   Keyword & Low Price，男女都會愛上的個性風馬上完成!   全面解說!讓你無往不利的6大改造關鍵單品...more
",https://www.books.com.tw/products/0010834547?loc=P_0003_007
8,餐桌上的木食器：28堂日系餐具木作課!職人紋刻技法，第一次就上手,"余宛庭,木質線",2019-08-07,"
用自己做的木食器款待每一日 經久耐用、溫暖樸實的日用器皿 28堂食器木作課!   栗子盤、斜角起司砧板、松鼠柚木筷、深型甜點小木匙、長耳兔抹刀……   可愛的森林動物們在木器上現蹤   這次連職人工作台與刨...more
",https://www.books.com.tw/products/0010829747?loc=P_0003_008
9,木工職人刨修技法：打造超人氣木作必備參考(經典版),"DIY MAGAZIN「DOPA！」編集部,太巻隆信,杉田豊久",2019-08-01,"
輕鬆掌握熟練技法 從基本操作到技法升級一應俱全! 製作高級家具簡單到你一定能夠學會!   ◆基礎木工篇——製作邊框   ◆箱盒入門——製作小木箱   ◆各種基本木榫接合   ◆提高精準度之治具大研究   ◆各種木工銑刀...more
",https://www.books.com.tw/products/0010829885?loc=P_0003_009
10,木作手工具研磨整修：使用目的+挑選工具+研磨加工，找出專屬手感、展現最高潛能的調整維修技法,手柴正範,2019-07-06,"
*從大工專業職人對手工具的挑剔，傳授一絲不苟的手工具整理心法 *百餘張照片步驟圖解鉋刀、鑿、鎚的刀刃研磨術和各部位整修保養訣竅 洋臻工房──────審訂推薦  調整手工具、隨時保持在最適合自己使用的狀態...more
",https://www.books.com.tw/products/0010826428?loc=P_0003_010
