,書名,作者,出版日期,內容介紹,網址
1,給媽媽的深夜日記,薇拉．西蘭達妮,2020-06-02,"
被仇恨分割的世界，阻隔不了愛的召喚    「印巴分治」事件發生在遙遠的七十多年前，然而在本書第一人稱視角的書信體兼日記的形式之下，小人物在動盪大環境中經歷的痛苦顯得歷歷在目。主角妮夏自幼就沒有母...more
",https://www.books.com.tw/products/0010859618?loc=P_0003_001
2,排灣族少年王,廖文毅,2018-03-06,"
曾短暫統治過全台灣高山部落的沙巴王，為何突然失蹤、生死成謎? 面對內部兄弟鬩牆、外有漢人侵擾，年輕的瑪太王子，要如何率領族人突破重重困境? 排灣族與漢族兩大族群的百年情仇，果真能隨著戰爭的餘燼湮...more
",https://www.books.com.tw/products/0010780683?loc=P_0003_002
3,台灣民間故事2：義俠廖添丁,陳景聰,2017-07-01,"
亂世中的正義之士   廖添丁向來是台灣民間口耳相傳的傳奇人物，其劫富濟貧的正義形象鮮明，但是在日本殖民時期，廖添丁可是日本警察的頭號通緝人物。即便如此，那些在民間流傳的俠義故事，仍讓台灣百姓紛...more
",https://www.books.com.tw/products/0010756606?loc=P_0003_003
4,快樂讀經典4：東漢故事(新版),林漢達,2017-05-26,"
中小學生必讀歷史輔助教材 了解歷史，活用成語，提升閱讀理解力及寫作力!   王莽篡漢，改國號為「新」，卻因改革失敗，加速了農民起義和貴族豪強的對抗，綠林軍、赤眉軍流竄，劉秀也趁勢興兵。昆陽大戰後...more
",https://www.books.com.tw/products/0010753880?loc=P_0003_004
5,快樂讀經典3：西漢故事(新版),林漢達,2017-05-26,"
中小學生必讀歷史輔助教材 了解歷史，活用成語，提升閱讀理解力及寫作力!   秦滅六國統一中原後，只維持了十五年就滅亡了。這期間經歷了陳勝、吳廣起義，和五年多的楚漢戰爭，項羽敗亡，劉邦一統天下，建...more
",https://www.books.com.tw/products/0010753882?loc=P_0003_005
6,快樂讀經典2：戰國故事(新版),林漢達,2017-05-26,"
中小學生必讀歷史輔助教材 了解歷史，活用成語，提升閱讀理解力及寫作力!   春秋末期，晉國被韓、趙、魏三家大夫瓜分，宣告了戰國時期的開始。這個時群雄競逐，齊、楚、燕、韓、趙、魏、秦，混戰不休。為...more
",https://www.books.com.tw/products/0010753878?loc=P_0003_006
7,台灣民間故事1：媽祖林默娘,鄭宗弦,2016-05-12,"
媽祖生，迎媽祖，眾人三月瘋媽祖 說奇幻，助人美，人人都有媽祖心   媽祖信仰從中國大陸沿海流傳來台至今，已成為台灣民間最普遍的信仰。全台各地遍布祭祀媽祖的廟宇，在每年農歷三月二十三日媽祖的誕生日...more
",https://www.books.com.tw/products/0010714694?loc=P_0003_007
8,古今智慧故事奇觀(六),嚴振新,2016-02-05,"
欣賞人類匠心獨具開創的藝術典範， 品味先民嘔心瀝血打造的文明奇觀。   《古今智慧故事奇觀(全六冊)》囊括了上百篇古今中外膾炙人口的智慧故事。這些故事呈現出許多歷史人物對突發事件的機智應變，也反映...more
",https://www.books.com.tw/products/0010707049?loc=P_0003_008
9,古今智慧故事奇觀(五),嚴振新,2015-12-25,"
《古今智慧故事奇觀(全六冊)》囊括了上百篇古今中外膾炙人口的智慧故事。這些故事呈現出許多歷史人物對突發事件的機智應變，也反映了普通人在種種生活磨難面前的通達灑脫；這些處世智慧既存在於先賢的言行...more
",https://www.books.com.tw/products/0010703703?loc=P_0003_009
10,古今智慧故事奇觀(四),,2015-11-25,"
欣賞人類匠心獨具開創的藝術典範， 品味先民嘔心瀝血打造的文明奇觀。   《古今智慧故事奇觀(全六冊)》囊括了上百篇古今中外膾炙人口的智慧故事。這些故事呈現出許多歷史人物對突發事件的機智應變，也反映...more
",https://www.books.com.tw/products/0010703707?loc=P_0003_010
11,古今智慧故事奇觀(二),"嚴振新,肖永生",2015-11-05,"
《古今智慧故事奇觀(全六冊)》囊括了上百篇古今中外膾炙人口的智慧故事。這些故事呈現出許多歷史人物對突發事件的機智應變，也反映了普通人在種種生活磨難面前的通達灑脫；這些處世智慧既存在於先賢的言行...more
",https://www.books.com.tw/products/0010703696?loc=P_0003_011
12,古今智慧故事奇觀(三),"嚴振新,肖永生",2015-11-05,"
《古今智慧故事奇觀(全六冊)》囊括了上百篇古今中外膾炙人口的智慧故事。這些故事呈現出許多歷史人物對突發事件的機智應變，也反映了普通人在種種生活磨難面前的通達灑脫；這些處世智慧既存在於先賢的言行...more
",https://www.books.com.tw/products/0010703700?loc=P_0003_012
13,古今智慧故事奇觀(一),"嚴振新,肖永生",2015-09-12,"
欣賞人類匠心獨具開創的藝術典範， 品味先民嘔心瀝血打造的文明奇觀。   《古今智慧故事奇觀(全六冊)》囊括了上百篇古今中外膾炙人口的智慧故事。這些故事呈現出許多歷史人物對突發事件的機智應變，也反映...more
",https://www.books.com.tw/products/0010688053?loc=P_0003_013
14,宜蘭海傳說：蘭陽溪的風雲‧海上不安定,張秋鳳,2015-09-05,"
在噶瑪蘭族前，宜蘭海上夢幻王國故事的主角，是誰?   在那遙遠的時代，傳說、故事，其實都是我們所不知的歷史!   最先居住在宜蘭的原住民並不是噶瑪蘭族(Kbalan)，而是另一個族群──Pusoram人，他們從海上...more
",https://www.books.com.tw/products/0010687546?loc=P_0003_014
15,宜蘭海傳說：蘭陽溪的風雲‧藏身好過冬,張秋鳳,2015-09-05,"
在噶瑪蘭族前，宜蘭海上夢幻王國故事的主角，是誰?   經過種種挑戰，建立村莊的Pusoram人，面對異族的入侵與威脅，又該如何面對這新的挑戰呢?   當太平的歲月過久了，村民已經忘記過去先祖們遷徙和定居的...more
",https://www.books.com.tw/products/0010687550?loc=P_0003_015
16,國語文啟蒙全集：彩繪歷史故事(1),,2015-09-01,"
經典歷史故事能啟發孩子思考，鑑古知今，培植人文素養。 一天一篇歷史故事，培養閱讀習慣，提升語文和辯析能力。 搭配生動的圖畫，翔實詮釋運籌帷幄、豪氣干雲的過往朝代。   文章為經國之大業，不朽之盛...more
",https://www.books.com.tw/products/0010688294?loc=P_0003_016
17,國語文啟蒙全集：彩繪歷史故事(2),,2015-09-01,"
經典歷史故事能啟發孩子思考，鑑古知今，培植人文素養。 一天一篇歷史故事，培養閱讀習慣，提升語文和辯析能力。 搭配生動的圖畫，翔實詮釋運籌帷幄、豪氣干雲的過往朝代。   文章為經國之大業，不朽之盛...more
",https://www.books.com.tw/products/0010688298?loc=P_0003_017
18,宜蘭海傳說：海上夢幻王國‧天神的旨意,張秋鳳,2015-07-06,"
最先居住在宜蘭的原住民並不是噶瑪蘭族(Kbalan)，而是另一個族群──Pusoram人。他們是如何建立起繁榮世代的王國呢?   Pusoram族的王子Lono，帶領著族人在大海上航行，為了完成祖先的明訓，要在大海上稱霸，...more
",https://www.books.com.tw/products/0010680386?loc=P_0003_018
19,宜蘭海傳說：海上夢幻王國‧永遠的家園,張秋鳳,2015-07-06,"
Pusoram族的王子Lono，跟隨著父兄，帶領著族人在大海上航行。他們要完成祖先的明訓，要在大海上稱霸，建立起一個海上王國。在好不容易克服了暴風雨和海上的各種驚險後，來到了宜蘭海一帶的沙洲，並在海神...more
",https://www.books.com.tw/products/0010680388?loc=P_0003_019
20,乳草男孩,傑瑞‧史賓尼利,2015-05-27,"
天堂就在這裡，在華沙，在圍牆的另一邊。 而乳草是不會變顏色的，十月時就和七月一樣鮮綠……   紐伯瑞兒童文學獎得主傑瑞‧史賓尼利把我們帶到一個慘遭蹂躪的場景──被納粹占領的華沙──並講述一個關於希望的...more
",https://www.books.com.tw/products/0010676278?loc=P_0003_020
21,亞果號的返航,韓秀,2015-03-01,"
三十年，不過是人類文明發展的斷簡殘片，卻幾乎占掉三分之一的人生。   在那荒謬的年代，一張混血兒臉蛋竟是與「美帝國主義分子」掛勾的牢不可破的證據。   她，一個「成份」不好的女孩如何在文革風暴中安...more
",https://www.books.com.tw/products/0010667538?loc=P_0003_021
22,錦囊,呂政達,2013-10-09,"
打開束口上的流光絲線，探索錦囊裡的麗境瑰寶   錦囊裡有什麼?   出土的臉骨化石、   浮出海面的鯤鯓、   氾濫的運河、   摩登的百貨店、   長眠溪谷的先靈，   還有……   時代的巨流從錦囊傾瀉而下，   水...more
",https://www.books.com.tw/products/0010612723?loc=P_0003_022
23,夢中奇俠,唐子文,2013-05-02,"
「天命真授玉璽」，相傳只有奉天承運、九五至尊的帝位繼承者可得。   為了爭奪這顆玉璽，人人為其拋頭顱、灑熱血、賣性命，最後又落入誰手?   同為大明開國功臣的「太祖小五虎」，最後的下場又是如何?   ...more
",https://www.books.com.tw/products/0010584959?loc=P_0003_023
24,望天丘,李潼,2012-09-11,"
幻想、現實、歷史 李潼膾炙人口的「噶瑪蘭第二部曲」《望天丘》 外星人送來一百三十年前的清朝少年， 娓娓道來漢人開蘭歷史的愛恨情仇。   宜蘭羅東運動公園的中心是一個火山造型的山丘，那是全公園的最高...more
",https://www.books.com.tw/products/0010557769?loc=P_0003_024
