,書名,作者,出版日期,內容介紹,網址
1,110升大學指定科目考試解題王：公民與社會考科,"洪驛,陳栩",2020-10-21,"
超強衝刺版指考歷屆試題，配合詳盡解析，穩扎穩打厚實功力。   ★學界名師逐題解析保證權威 → 精準解析內容詳盡   ★思路引導與錦囊撇步絕對獨家 → 輕鬆掌握解題關鍵   ★考前衝刺10分鐘攻略最超值 → 快速複...more
",https://www.books.com.tw/products/0010873289?loc=P_0003_001
2,110指定科目考試歷史考科歷屆試題總覽,"劉河北,葉施平",2020-10-21,"
名師解題：完整收錄100年至109年的大學入學指定科目考試試題，由高中升大學補習班超級名師親自詳解，將所有的題目做最深入的詳析，細膩的解釋，最能啟發考生作答技巧與思考脈絡。   模擬演練：依照近年命...more
",https://www.books.com.tw/products/0010873560?loc=P_0003_002
3,110升大學指定科目考試解題王：地理考科,"林建,林翔,羅士豪",2020-10-21,"
飆分版指考歷屆試題，配合詳盡解析，穩扎穩打厚實功力。 權威名師逐題詳解，精銳盡出! 思路引導與錦囊撇步，保證獨家! 考前衝刺10分鐘攻略，鞏固觀念! 解答別冊題解好對照，絕對強勢! 強勢•精確•零失誤 挑...more
",https://www.books.com.tw/products/0010873564?loc=P_0003_003
4,110指定科目考試地理考科歷屆試題總覽,"徐明軒,林全",2020-10-06,"
本書完整收錄100年至109年的大學入學考試及指定科目考試試題，由高中升大學補習班超級名師群親自詳解，將所有的題目做最深入的詳析、細膩的解釋，最能啟發考生作答技巧與思考脈絡。此外，依照近年命題趨勢...more
",https://www.books.com.tw/products/0010872484?loc=P_0003_004
5,110升大學指定科目考試解題王：歷史考科,鄒臥龍,2020-09-28,"
超強衝刺版指考歷屆試題，配合詳盡解析，穩扎穩打厚實功力。    ★ 學界名師逐題解析保證權威 → 精準解析內容詳盡   ★ 思路引導與錦囊撇步絕對獨家 → 輕鬆掌握解題關鍵   ★ 考前衝刺10分鐘攻略最超值 → 快...more
",https://www.books.com.tw/products/0010871320?loc=P_0003_005
6,110升大學學科測驗解題王：社會考科,"林全,林翔,洪驛,潘可仁,羅士豪,鄒臥龍",2020-05-27,"
全新進階版   ◎獨立解答本 方便好抽拿的解答別冊，讓同學對照詳解更便利。   ◎詳列出處 掌握命題觀念，實力才得以發揮甚而游刃有餘。   ◎思路引導 一語破解命題核心，將原理及性質重新複習一遍，進而加深...more
",https://www.books.com.tw/products/0010859350?loc=P_0003_006
7,贏戰102~109年學測歷屆試題社會考科,"余紫瑛,林全,葉施平",2020-05-13,"
贏戰系列，讓你運籌帷幄，決勝千里之外! 近8年學測歷屆試題，掌握最新考情，不走冤枉路! 題題名師精解，突破學習盲點，提升解題實力! 採用Arima Models預測模擬出題，命中必考趨勢! 雙效複習計畫，強化學...more
",https://www.books.com.tw/products/0010857602?loc=P_0003_007
8,110升大學學科能力測驗社會考科歷屆試題總覽,"余紫瑛,劉河北,徐明軒,林全,葉施平",2020-05-06,"
親愛的學子~~ 「模擬考成績欠佳」 「試題本太多寫不完，試題的解析像課文一般冗長」 「無法掌握漫天亂飛的考情資訊」…… 你是上述症狀患者嗎? 別擔心!鴻漸文化《學科能力測驗歷屆試題總覽》全系列叢書迅速...more
",https://www.books.com.tw/products/0010856728?loc=P_0003_008
9,歷史科歷屆大考試題分類解密(附解題本)(增訂五版),三民歷史編輯小組,2020-04-03,"
內含最新學科能力測驗、指定科目考試，大考試題一網打盡。   按照主題分門別類，大考趨勢呼之欲出。   給您最詳盡的解析，是對是錯都告訴你Why?   搜羅98年以後學科能力測驗、指定科目考試，保證最新!   ...more
",https://www.books.com.tw/products/0010685521?loc=P_0003_009
10,神拿滿級分：公民與社會1~4冊總複習(附解答本)(修訂五版),"周浩元,趙嘉毓",2020-04-03,"
掌握2020年重要時事「發燒新聞臺」單元解密大考難題「詭題大搜尋」單元圖解重要概念 圖像記憶最輕鬆素養試題編寫 醞釀大考解題手感融入跨科命題 融入公民、歷史、地理合科整合題題題有詳解 隨書附贈解析本...more
",https://www.books.com.tw/products/0010854187?loc=P_0003_010
