,書名,作者,出版日期,內容介紹,網址
1,佛教常識答問,趙樸初,2020-02-21,"
佛教在中國近兩千年，與中國文化關係深厚；不懂佛教，就不易懂得中國文化史。本書以通俗的語言和活潑的答問形式，深入淺出地介紹了佛教的常識：佛陀和佛教的創立，佛法基本內容和佛教經籍，僧伽和佛的弟子...more
",https://www.books.com.tw/products/0010850142?loc=P_0003_001
2,佛教基本知識,周叔迦,2020-02-21,"
本書由中國佛學泰斗周叔迦先生撰寫，是一部關於佛教典制與文化的著作，旨在向普羅大眾推廣佛學。為簡明清晰講解深奧龐雜的佛學理論，作者以通俗易懂、深入淺出的文字，分以下十個方面介紹了佛學基本常識：...more
",https://www.books.com.tw/products/0010850144?loc=P_0003_002
3,自覺人生‧莊嚴身行(2冊/套)(不分售),慈容法師,2019-12-20,"
佛教是探究宇宙人生的生命之學，而佛門禮儀所蘊含的慈悲、智慧、恬淡等，   能幫助人們身心和諧，讓生命的每一刻都「語默動靜體安然」。   作者跟隨星雲大師近七十年，一心秉承師教弘化，透過本書的三十四...more
",https://www.books.com.tw/products/0010844488?loc=P_0003_003
4,居士50問,法鼓文化編輯部,2019-12-09,"
居士是紅塵中人，菩薩行者；   掌握在家修行之道，   做一個理想的在家菩薩。   相對於出家人清淨梵行的生活，居士更需要福慧雙修，才能在凡塵俗世裡，鍛鍊出道心。   本書為難得的居士修行專書，除介紹居...more
",https://www.books.com.tw/products/0010844415?loc=P_0003_004
5,轉念助度法,陳朝猛,2019-11-01,"
《西藏度亡經》的簡易版，即知即用，讓眾生快速圓滿轉生淨土   ◎中陰階段在轉生過程中極為重要，讓此書幫助眾生，自助助人，順利解脫。   ◎明白曉暢，簡單易行，初階者亦能輕鬆閱讀，獲得莫大助益。   ◎輕...more
",https://www.books.com.tw/products/0010837484?loc=P_0003_005
6,圖解冥想(新版),藍梅,2019-08-07,"
解除壓力與排除恐懼與焦慮的最佳方法   冥想是佛教一種獨特的靜心解脫法門，它以基本的靜坐方式，有目的地引導修行者的精神思維，使修行者能夠藉由冥想更加專注，進而排除內心雜念，驅除心靈的焦慮感，為...more
",https://www.books.com.tw/products/0010830234?loc=P_0003_006
7,了解佛教,"李葛夫,覺泰法師,趙國森,趙敬邦",2019-07-19,"
佛教起源於古印度，由釋迦牟尼佛教導弟子而漸成為一大宗教，經南、北兩方傳播，影響東亞文化發展。佛教宗派分支甚多，包括南傳上座部、漢傳佛教、藏傳佛教等，其傳揚的思想重點亦各有不同，內容極為豐富。...more
",https://www.books.com.tw/products/0010828547?loc=P_0003_007
8,臺灣佛教,何綿山,2019-05-02,"
中國傳統文化在台灣的積澱十分厚重，影響非常深遠。佛教作為中國傳統文化重要的組成部分，有記載於明清之際已在台灣建立佛寺。其實，以佛教在大陸的悠久歷史和普及程度，早於彼時赴台的漢族移民中肯定不乏...more
",https://www.books.com.tw/products/0010821416?loc=P_0003_008
9,二六時中會瑜伽：要超度先人，先超度自己,永富,2019-04-16,"
要超度先人 先超度自己   瑜伽焰口法會是佛教法會中頗為特殊，且深受信眾護持禮拜的法會之一。不僅是啟辦法會的因緣特殊，法會時間較長，唱誦、法器音聲引人入勝，更重要的是能培植大眾廣發慈悲心，超度先...more
",https://www.books.com.tw/products/0010818198?loc=P_0003_009
10,《梵唄50問》,法鼓文化編輯部／編,2018-08-01,"
什麼是梵唄?   50個梵唄須知，   讓你體驗清涼法音，   身心舒暢，智慧光明，   妙音傳十方!   梵唄總是遇到這樣的問題：   梵唄是佛教音樂嗎?   練唱梵唄有何關鍵重點?   不了解自己唱誦的內容，功德是否...more
",https://www.books.com.tw/products/0010795450?loc=P_0003_010
