,書名,作者,出版日期,內容介紹,網址
1,哈佛大學口才課大公開：一句關鍵話決勝於無形,梁山水,2020-11-20,"
※哈佛大學口才課大公開，見證頂尖精英的思維習慣，金字塔精英的秘密。   ※人生最重要一門課!哈佛人必修，不是哈佛人的你更要修!   ※哈佛人最引以為自豪的竟然不是他們的學歷?辯才無礙的口才，才是他們縱橫...more
",https://www.books.com.tw/products/0010873405?loc=P_0003_001
2,寫給女人的實用說話手冊：妳若會說話，到處吃香,張麗麗,2020-10-07,"
本書特色    展現女性魅力的23個說話練習    好話使人如浴春風，甚至交到好運。壞話使人心情不悅，甚至招來禍端。說話並不像人們想像的那麼簡單，而是一門值得我們每個人學習和研究的深奧學問。如果要把說...more
",https://www.books.com.tw/products/0010872603?loc=P_0003_002
3,蔡康永的情商課+蔡康永的說話之道(500萬冊紀念版),蔡康永,2020-10-06,"
★華人書市的暢銷&長銷奇蹟! ★跟康永聊情商、學說話，活出讓自己和別人都愉悅的人生。」   《蔡康永的情商課》   ★寫出熱銷500萬冊《說話之道》的蔡康永，《奇葩說》與《康熙來了》的蔡康永，要讓每個人找...more
",https://www.books.com.tw/products/0010872404?loc=P_0003_003
4,能說、好聽、不帶刺的高段說話術,簡勝文,2020-09-30,"
明明是好心，但總是讓人不滿意， 明明沒有想刻意傷害誰，結果卻是讓別人拂袖而去。 生活中，十有八九的不愉快是因為不恰當的說話方式引起的!   話說得再多、再動聽也未必有用，關鍵要說到點子上，   語言...more
",https://www.books.com.tw/products/0010872956?loc=P_0003_004
5,靈活運用說話攻略：把你的話語滲透到對方的心裡,王照,2020-09-29,"
.把你的話語滲透到對方的心裡    Sony公司創辦人盛田昭夫曾說：「和機器打交道的時候，你可以是完全理智的，但是與人互動之時，有時你不得不把邏輯放在次要的位置。」    日常生活中，我們都免不了和別人...more
",https://www.books.com.tw/products/0010871729?loc=P_0003_005
6,不說「我」，別人才聽你的：不聊天氣、不聊自己、隨身帶三種道具，當場提升工作評價和人際關係的聊天技術。,吉原珠央,2020-09-28,"
◎「我最近，我喜歡，我常常……」，當你連說三次「我」，對方會開始不想聽。   ◎問別人：「你的工作很賺錢吧?」非常失禮。   ◎大家都喜歡被讚美，但有一種讚美，對方聽了很不開心。   ◎你滔滔不絕講，對方不...more
",https://www.books.com.tw/products/0010870438?loc=P_0003_006
7,你都沒在聽：科技讓交談愈來愈容易，人卻愈來愈不會聆聽。聆聽不但給別人慰藉，也給自己出路,凱特‧墨菲,2020-09-26,"
聆聽才是溝通的王道 但為什麼我們失去了聆聽的能力?   在工作場合上，主導對話才能出頭。   在社群媒體上，敘述力決定個人魅力。   交際應酬時，人人都在搶話說。政治人物也一樣。   我們從不好好聽人說話...more
",https://www.books.com.tw/products/0010870927?loc=P_0003_007
8,好好回話，開啟好關係：用三句話暖進人心，做個支撐他人的成熟大人,鄭惠信,2020-09-24,"
「你是對的。」 「你的心情怎麼樣?」 「原來你是這樣想的啊!」 用三句話的時間，打造好關係   ★韓國媒體《朝鮮日報》、《東亞日報》、《中央日報》及最大網路書店Yes24年度選書   ★強勢佔領Yes24、教保文...more
",https://www.books.com.tw/products/0010870624?loc=P_0003_008
9,說話教室,戴爾‧卡耐基,2020-09-02,"
這本「說話術」，不止告訴我們談話的祕訣，同時對自我啟發、工作、人際關係、人生應有的態度等的改善，都有很好的啟示。同時，它也是基於眾多的體驗寫成，並非桌上的議論以及學問上的研究報告所能比擬，具...more
",https://www.books.com.tw/products/0010868817?loc=P_0003_009
10,說話有技巧，效果會更好：學會把話說到對方的心坎裡,楚映天,2020-09-01,"
.學會把話說到對方的心坎裡    詩人紀伯倫曾說：「一個人的實質，不在於他向你顯露的一面，而在於他不能向你顯露的一面，因此，如果你想了解他，不要去聽他說出的話，而要去聽他沒說出的話。」    想要溝...more
",https://www.books.com.tw/products/0010868978?loc=P_0003_010
11,蔡康永的說話之道(500萬冊紀念版),蔡康永,2020-09-01,"
說話是我們跟世界相處的方式，如果我們不能說話，我們會是完全不同的人。   在把「說話之道」寫成書之前，我沒有想過跟別人聊這件事，出成書之後，我才發現有這麽多人，其實完全明白說話有多重要。   這使...more
",https://www.books.com.tw/products/0010867771?loc=P_0003_011
12,超譯卡內基：溝通與人際關係的181則箴言,戴爾．卡內基,2020-08-27,"
★巴菲特說：卡內基訓練「是我學過最重要的一課」。 ★盤據《紐約時報》暢銷榜10年之久 ★銷量僅次於《聖經》，影響全球3億人的溝通經典   暢銷超過80年，銷量破1,500萬本的黃金溝通法則   《卡內基溝通與人...more
",https://www.books.com.tw/products/0010867633?loc=P_0003_012
13,100種高效溝通方法,王利利,2020-08-14,"
高效溝通不在於說甚麼，而在於怎樣說。   本書提供高效溝通的100種方法，   教你從傾聽、回應、說服、拒絕、幽默、讚美等方面：   .迅速告別口笨嘴拙、詞不達意、言不由衷   .知道甚麼時候說該說甚麼、對...more
",https://www.books.com.tw/products/0010867860?loc=P_0003_013
14,開口問，全世界都會幫你：人生、職場必修的求助溝通學,韋恩‧貝克,2020-08-06,"
Google、IBM、通用汽車…都推崇的人際互惠原則 美國企業教練、心理諮商師，都在用的溝通技巧 ──讓你的提問更具體、更好懂，解決問題更有效率──   工作繁重，不好意思開口求救；疑難雜症，不知誰能幫忙解決 ...more
",https://www.books.com.tw/products/0010865651?loc=P_0003_014
15,YES說話術：讓工作、感情、人際、家庭全部升級!,"佐佐木 圭一,大舞 キリコ,星井博文",2020-08-06,"
★表達術書藉漫畫版，原作獲得2013~2015年許多書店的年度最佳銷售。   ★透過漫畫劇情，讓您輕鬆學會日本表達術聖經!   ★新鮮人的救命稻草!透過話語的力量突破看起來不可能的困境!    在時尚雜誌編輯部工作...more
",https://www.books.com.tw/products/0010865715?loc=P_0003_015
16,看穿人心超強說話術：站在對方的角度，把話說得恰到好處,陶然,2020-08-04,"
英國作家吉普林曾說：「語言，是人類所使用的最有效的藥方。」    無論遭遇的情況多麼糟糕，只要妥善運用語言的力量，就一定會出現驚人的「療效」。    擅長操縱人心的人，必定懂得發揮語言的威力，讓自己...more
",https://www.books.com.tw/products/0010866022?loc=P_0003_016
17,精準避雷：職場x社交x生活必備說話術,"劉惠丞,才永發",2020-07-31,"
日常生活中，我們隨時隨地都要說話，但說話其實並不簡單!    你是否常自嘲是個邊緣人，遇到煩惱也沒有足夠的人脈關係能幫助你?   你是否三不五時得罪人，卻不知道自己到底哪裡踩到雷?   這時你應該反思一...more
",https://www.books.com.tw/products/0010866428?loc=P_0003_017
18,罵人何必帶髒字全集：想要罵人，一定要先動動腦筋,文彥博,2020-07-28,"
.想要罵人，一定要先動動腦筋    隆巴迪曾經寫道：「用嘴巴罵人，每個人都會，但是用腦筋罵人，就不是每個人都具備的本事。」    如果你光會用嘴巴罵人，通常會口不擇言，讓被罵的人認為你滿腦子偏見又沒...more
",https://www.books.com.tw/products/0010865340?loc=P_0003_018
19,一針見血、兩針見骨，三針見閻王的麻辣說話術,天空為限,2020-07-01,"
23場沒有煙硝味的鬥嘴實戰解析，實用且痛快!!   沒錯!這本書就教你學會吵架!   教你如何不動干戈，談笑間為自己討回公道。    Shut Up! 秒解最常見的刁鑽質問   Being Tough! 一次灌頂，強化防禦力，終身...more
",https://www.books.com.tw/products/0010861289?loc=P_0003_019
20,說話講謀略，做事講策略：掌握說話訣竅，事情才會辦得更好,左逢源,2020-06-30,"
.掌握說話訣竅，事情才會辦得更好    斯賓塞曾經寫道：「我們都很討厭見風轉舵，風吹兩面倒的騎牆派，但是我們卻很喜歡八面玲瓏，說話辦事能面面俱到的人。」    其實，這就是人性最矛盾的所在，因為「見...more
",https://www.books.com.tw/products/0010862218?loc=P_0003_020
21,DISC識人溝通學2 誰說一定要被喜歡才能被祝福 斷捨離消耗你的人，就能遇到對的人!,蔡緯昱,2020-06-20,"
開始用DISC性格分析 學會讀人心、解人性，畫出人際關係的安全界線 拒絕情緒勒索、斷捨離消耗你的人 不需要擔心會不會被喜歡、能不能被祝福 做人不會辛苦不再累 你是不是也有這樣的困擾 明明工作很賣命，但...more
",https://www.books.com.tw/products/0010860764?loc=P_0003_021
22,社交力：從會哈囉開始-要有好人緣，就要敢瘋狂,"劉惠丞,劉燁",2020-06-05,"
你是在哈囉?還是你連哈囉都不會?   許多人和陌生人說話都會感到拘謹，   建議你先考慮一個問題：為什麼你跟老朋友談話不會感到困難?   你要設法把陌生人變成老朋友!   建立你的社交力，一切從說哈囉開始! ...more
",https://www.books.com.tw/products/0010860751?loc=P_0003_022
23,99%的溝通，都是在解決情緒問題!讀懂別人的情緒，把話說進心坎裡，晉身溝通高手的42個說話技巧,丁頁,2020-05-30,"
當當網讀者近100%完美推薦 真正的溝通高手，不是辯才無礙， 而是能精準讀懂對方「情緒」，繼而說出擊中對方心坎的話! ——本書獻給知道很多說話技巧、卻仍身陷溝通困境的你—— 你是否常常覺得—— ◆很努力找話...more
",https://www.books.com.tw/products/0010858885?loc=P_0003_023
24,連拜託都不用，這樣暗示最有效：漫畫超圖解!用「暗示」就能順利動搖他人的心,"内藤誼人,酒井團子蟲",2020-05-27,"
★★日本狂售15萬本★★ ★一流人都在用的暗示溝通★ 任何人都可以輕易辦到， 不知不覺將所有人變成你的人! 所有場合都能適用， 現代人必學的積極溝通法!   將想傳遞的重要訊息，透過暗示直送進對方心坎裡──   ...more
",https://www.books.com.tw/products/0010858338?loc=P_0003_024
25,抓住人心竟然只要這關鍵10秒!：利用「聲音、容貌、姿態」，讓你立刻變成眾人焦點!,加藤昌史,2020-05-14,"
《不太會說話，也沒關係》全新封面版 心理學家發現，面對台上的演說者，聽眾在前10秒就已經打了分數! 本書教你如何運用關鍵的10秒讓人印象深刻，抓住傾聽者的心!   如果對方給你的印象是好的，你會在潛意...more
",https://www.books.com.tw/products/0010857395?loc=P_0003_025
26,精彩人聲：用聲音豐富人生劇本(2CD),周震宇,2020-05-11,"
上天給每一個人的聲音特質都是不一樣的，每個人本來就有自己的聲音原型，一個聲音原型是暖男「照顧者」，卻想要武裝自己成為「英雄」，就是脫離自己的原型。「聲音沒有好聽不好聽，只有適合不適合。」當聲...more
",https://www.books.com.tw/products/0010858154?loc=P_0003_026
27,療癒之聲：讓聲音穿透情緒，療癒人心(2CD),周震宇,2020-05-11,"
說話的聲音不但能反映出一個人的性格、長期的情緒狀態，也能聽出他正在經歷的生命階段、人生劇本，以及在生活中習慣扮演的角色原型。在聲音九大原型當中，「照顧者」原型的聲音最為溫暖，每個人都可以學習...more
",https://www.books.com.tw/products/0010858158?loc=P_0003_027
28,30天幽默感提升班：轉念即樂，我們總要學會笑看人生,"焦瑛,馮國濤",2020-05-05,"
懂得以幽默角度看待人生，就是人生巨大的成就。    幽默感不只給我們身邊的人帶來快樂，受惠最大的其實是有幽默感的人自身。   無論在什麼場合，絕大多數的笑是由幽默而引起的。   笑，是人的生活中必不可...more
",https://www.books.com.tw/products/0010857248?loc=P_0003_028
29,你不能不知道的幽默說話術,凌雲,2020-05-05,"
.活用幽默藝術，才是最好的溝通方式   美國作家比徹.斯托曾說：「只要你能用幽默的方式讓對方會心一笑，對方就會不由自主照著你的意思去做。」   確實如此，幽默往往會製造左右他人決定的效果，訣竅是抓準...more
",https://www.books.com.tw/products/0010856411?loc=P_0003_029
30,能說會聽：超人氣的攻心說話術,周儀軒,2020-05-04,"
他人的自我意識好像一個衛兵，站在他的潛意識的入口，   如果你喚起了他的自我意識或把它激發過重的話，   他就絕對不會接受你的意見。   你知道別人愛聽什麼、不愛聽什麼嗎?   這裡教你，這就要「看」人...more
",https://www.books.com.tw/products/0010857058?loc=P_0003_030
31,周震宇的聲音魅力學：聽懂弦外之音、用對聲音裡的9種力量,周震宇,2020-04-30,"
社會各界菁英指定進修學習、超高人氣的聲音課! 聲音訓練專家周震宇，教你從聲音聽懂別人，也了解自己。   聲音是靈魂的反射鏡，要了解一個人，先從聲音開始。   你可能不知道，聲音透露了一個人的性格，  ...more
",https://www.books.com.tw/products/0010855991?loc=P_0003_031
32,質感說話課：言語的溫柔力量，是送給自己和他人最美的禮物,潘月琪,2020-04-29,"
帶你重新認識言語的真實力量，說出更有質感的人生!   你有多久沒注意過自己日常的說話習慣呢?   言語表達常被當作獲取工作、名聲、利益的工具，   我們擅長針對特定目的進行交談，   生活中的對話卻少了待...more
",https://www.books.com.tw/products/0010855540?loc=P_0003_032
33,我一定要跟你聊超過15分鐘：開場、提問、接話，從搭訕、陌生拜訪、到凝聚感情……幫助百萬人從此擺脫尷尬、緊張與冷場,野口敏,2020-04-28,"
日本亞馬遜年度TOP 20金榜，破百萬本暢銷書，首度改編漫畫。      ◎我開心的說早安，對方卻面無表情、或一臉不解的看著我，怎麼接下去?   ◎主管說：「你想問我什麼問題都可以」，但，我真的可以嗎?   ◎我...more
",https://www.books.com.tw/products/0010854930?loc=P_0003_033
34,罵人不必帶髒字全集：換一種文明的方式去罵人,文彥博,2020-04-07,"
.換一種文明的方式去罵人    荷姆斯曾經寫道：「誇人只需要舌頭，罵人卻需要智慧。」   的確，鐘的完美不在於走得快，而在於走得準確；罵人的話不在於髒，而是在於是否切中被罵人的要害……    巴克斯特曾經...more
",https://www.books.com.tw/products/0010854282?loc=P_0003_034
35,說話的分寸：說好話，不如把話說好的7個要訣,萬劍聲,2020-04-01,"
本書特色    美國著名演說家戴普說過：“世界上再沒有比令人心悅誠服的交談能力更能迅速獲得成功與別人的欽佩了，這種能力，任何人都可以培養出來。”事實上，我們在改變自己說話方式的同時，其實就是在改變...more
",https://www.books.com.tw/products/0010853606?loc=P_0003_035
