,書名,作者,出版日期,內容介紹,網址
1,重返自然，阿公阿嬤教你的手感生活DIY：把好吃的做出來╳用大自然做禮物╳為住家做點事╳打造戶外家園，重拾真正生活的樂趣!,史托瑞出版社,2020-11-02,"
★各領域專業職人的說明教導★ ★15,000,000冊人心所向的銷售保證★ ★入選恆今基金會(The Long Now Foundation)「文明重建圖書館」保存書籍★ ★超過300張插圖、圖表和照片，是詳細且可靠的一本實用指南★   親.....more
",https://www.books.com.tw/products/0010873510?loc=P_0003_001
2,我的學號是爸爸,藍白拖,2020-10-27,"
「如果沒有你，我沒有機會回到校園坐在大禮堂，看著一個人穿著畢業服，開心迎接未來的模樣，對另一個新環境充滿喜悅與期待。   我不會看見自己小時候的樣子，原來如此調皮讓人頭痛，好多小時候的回憶重新...more
",https://www.books.com.tw/products/0010873511?loc=P_0003_002
3,2021鄉居筆記,鐘銘誠,2020-10-15,"
那些美好的節氣風景   人對鄉土的記憶，攸關生命的厚度。   那曾經生活過、戀愛過、高興過、失望過的地方，   總會有不同的人情物事一起陪伴成長。   在歲月的沉浸下，這些與土地深深連結的風土人文，   ...more
",https://www.books.com.tw/products/0010872766?loc=P_0003_003
4,2021節氣香草,"Julia,Rachel",2020-10-15,"
365個香草日子   整天與香草為伍，喜歡藉由種植、料理、旅行與書寫來親近大自然節氣脈絡的Julia，將她累積多年的香草生活心得，加上Rachel自在寫意的水彩插畫，完成這一本“節氣香草”手札。   書頁裡Julia...more
",https://www.books.com.tw/products/0010872769?loc=P_0003_004
5,地味手帖NO.02風土技藝：留住文化留住人,地味手帖,2020-10-14,"
人→技藝→記憶→人 有人就有技藝 有記憶就有地方的家   |本期特輯──風土技藝|   「我們是靠手來記憶的。」   「你用什麼來記憶?」   讓技藝成為記憶，回到人和地方的家。   當人長久居住在土地，想要有更好...more
",https://www.books.com.tw/products/0010872646?loc=P_0003_005
6,德州媽媽沒有崩潰：早安!今天又是被迫營業的一天(隨書附贈：名畫二創哏圖共4張),Mumu,2020-10-13,"
嗨!各位~今天又來看我有沒有過得比你們慘了嗎?    防疫年誕生~最強「網崩」   西洋古典名畫二創爆紅粉絲團   反催生盟主──《德州媽媽沒有崩潰》第一本圖文創作集!    ※隨書加贈：〈德州媽媽沒有崩潰〉名畫...more
",https://www.books.com.tw/products/0010872023?loc=P_0003_006
7,【首刷限量】德州媽媽沒有崩潰：早安!今天又是被迫營業的一天(首刷限量：Bonne Nuit雙層紗布方巾+隨書附贈：名畫二創哏圖共4張),Mumu,2020-10-13,"
嗨!各位~今天又來看我有沒有過得比你們慘了嗎?    防疫年誕生~最強「網崩」   西洋古典名畫二創爆紅粉絲團   反催生盟主──《德州媽媽沒有崩潰》第一本圖文創作集!    ※隨書加贈：〈德州媽媽沒有崩潰〉名畫...more
",https://www.books.com.tw/products/0010872016?loc=P_0003_007
8,東京食器.料理.好店手帖,塔西(Tarcy),2020-09-01,"
曾就讀日本雜貨經營科的塔西，每天運用在東京蒐羅來的食器與食材，   發揮獨特的風格與品味，將一道道早午餐豐盛盛桌。   在餐桌上你可以看到東京最迷人的模樣，   一起跟著塔西的腳步穿梭大街小巷，   就...more
",https://www.books.com.tw/products/0010868398?loc=P_0003_008
9,正反合NO.2：故事的盡頭，是未了,群英社編輯部,2020-08-30,"
正反合雜誌，提倡多元思考的生活哲學。在這裡，可體驗酒餘茶後的恬淡閒適，也可行萬里路去領略大千世界的絕美風光，可聽一場音樂，可嗅一朵花香。雜誌聚焦於年輕族群的生活哲學，在繁忙生活中給予人們簡單...more
",https://www.books.com.tw/products/0010867573?loc=P_0003_009
10,地味手帖NO.01 地方個性：創造地域生活感的人與事,地味手帖,2020-08-05,"
地方+人=個性 地方本身就有自己的特質 能夠吸引有著理念和行動的人前來 一起形成鮮明的個性和生活方式   |本期特輯──地方個性|   你今天很鹿港，還是很恆春呢?   你覺得自己比較台東，還是花蓮?   如果把...more
",https://www.books.com.tw/products/0010865511?loc=P_0003_010
