,書名,作者,出版日期,內容介紹,網址
1,至高の音樂3：古典樂天才的登峰造極,百田尚樹,2020-08-04,"
天才成就，經典不滅! 《永遠の0》暢銷作者百田尚樹 人氣音樂散文集系列重磅完結! 古典音樂天才生涯傑作，25首精選推薦!    絕美聆賞.天才們畢生成就的旋律秘密   細細述說.音樂家的生涯經歷與創作軌跡   ...more
",https://www.books.com.tw/products/0010866016?loc=P_0003_001
2,Sonata Form Innovations in Prokofiev’s Nine Piano Sonatas：普羅高菲夫鋼琴奏鳴曲中奏鳴曲式的傳承與創新(英文版),蔡佳憓,2020-07-01,"
一聽瞭然天才筆下的顛覆與永恆!從聽覺美學而言，曲式可以說是一種深層的結構，提供辨識音樂歷程的進行軌跡；而奏鳴曲式之可塑性，提供了作曲家大展身手的舞台，僅就表現奏鳴曲當中主題與副題，主調與副調...more
",https://www.books.com.tw/products/0010863168?loc=P_0003_002
3,戰爭與和平：莫札特小提琴奏鳴曲K.379、普朗克小提琴奏鳴曲及普羅高菲夫小提琴奏鳴曲Op.94a之樂曲分析與演奏詮釋,謝士雲,2020-05-15,"
人類的歷史總是交迭在和平與戰爭之間，正如人類的心靈狀態經常處於平靜與衝突之間，而西方古典音樂則是不斷地擺盪在循規蹈矩與突破創新之間。本書針對筆者於2018年舉辦的「戰爭與和平」音樂會之曲目莫札特...more
",https://www.books.com.tw/products/0010859615?loc=P_0003_003
4,香港流行音樂專輯101.第一部(修訂版),Muzikland,2020-01-24,"
香港流行樂壇曾光輝一時，影響力遍及東南亞及各地華人社區，幾多天皇巨星誕下，多少專輯被奉為經典。本書作者投身音樂工業多年，從碟評人角度出發，結合相關創作人乃至歌手專訪，於浩瀚的唱片名單中挑選10...more
",https://www.books.com.tw/products/0010847944?loc=P_0003_004
5,今晚不妨來點輕鬆的古典樂!,田中マコト,2020-01-22,"
古典樂，就是幾百年前的流行音樂! 時至今日，它早已自然而然地融入我們的日常生活中。 本書以漫畫搭配小故事，帶您輕輕鬆鬆踏入古典音樂殿堂!   你有以下症狀嗎?   ◎想了解古典樂，卻不知從何下手。   ◎希...more
",https://www.books.com.tw/products/0010843740?loc=P_0003_005
6,經典黑膠考古,侯宏易,2019-12-05,"
唱片工業在廿世紀下半蓬勃發展，短短四十年間便留下無數經典錄音；而黑膠唱片歷經1990年代的大衰退之後，2000年開始了新一波的復興風潮，二手市場非常活絡，各大廠牌也競相推出復刻名盤。過去私下流傳於黑...more
",https://www.books.com.tw/products/0010842802?loc=P_0003_006
7,世界的開始與結束：尼貝龍指環 戲劇音樂深度解析(書+點讀筆組合),"呂岱衛,詹益昌,陳蘋蘋",2019-09-25,"
音樂史上的珠穆朗瑪峰， 長達16小時、4個晚上的弘篇鉅作， 以北歐日耳曼傳說為底， 講述了世界步向毀滅與傳承新生的動人故事。   《尼貝龍指環》的情節深刻廣闊，吸引一代又一代的人重新探討、上演不輟。...more
",https://www.books.com.tw/products/0010833203?loc=P_0003_007
8,世界的開始與結束：尼貝龍指環 戲劇音樂深度解析,"呂岱衛,詹益昌",2019-09-25,"
音樂史上的珠穆朗瑪峰， 長達16小時、4個晚上的弘篇鉅作， 以北歐日耳曼傳說為底， 講述了世界步向毀滅與傳承新生的動人故事。   《尼貝龍指環》的情節深刻廣闊，吸引一代又一代的人重新探討、上演不輟。...more
",https://www.books.com.tw/products/0010833212?loc=P_0003_008
9,香港流行音樂專輯101：第二部‧1987-1990,Muzikland,2019-09-19,"
「青春，請你歸來」   上世紀八十年代，香港流行文化風靡全球華人社群，電影、電視劇及粵語流行曲之間的跨媒體協同效應，塑造出譚詠麟、張國榮及梅艷芳等超級巨星，偶像工業如日方升。   這段流行文化的光...more
",https://www.books.com.tw/products/0010834661?loc=P_0003_009
10,廣東音樂200首(附CD),,2019-09-03,"
廣東音樂亦名粵樂，百多年叮興起於珠三角、省港澳地區，曾是大眾文化的主流。本曲集選自20世紀初葉以來廣東音樂名家創作且盛行的200首廣東音樂曲目簡譜，當中以民國時代為主，展現了廣東音樂發展的歷史縮...more
",https://www.books.com.tw/products/0010832944?loc=P_0003_010
