,書名,作者,出版日期,內容介紹,網址
1,星星女孩,傑瑞．史賓納利,2020-11-05,"
她的與眾不同，讓每個人都深深著迷。 她的格格不入，讓每個人避之唯恐不及。 星星女孩捲起天翻地覆的風暴，讓人重新思索， 在「平凡」與「不凡」之間，該如何抉擇?    星星女孩讓人捉摸不定。   她是仙人...more
",https://www.books.com.tw/products/0010874497?loc=P_0003_001
2,心有靈犀,陳碏,2020-10-21,"
★中國童書榜100佳童書★ ★中國童書榜父母特別推薦獎★    石宇南又高又帥，文武全才，是許多女同學愛慕的對象，只有功課普普，其貌不揚的巧心不把他放在眼裡。宇南很不服氣，硬要找機會跟巧心在一起。深交之...more
",https://www.books.com.tw/products/0010873819?loc=P_0003_002
3,梅西換檔上路,梅格‧梅迪納,2020-07-21,"
不過是換到難度比較高的檔位，我準備好了!    升上六年級後，梅西發現一切都變了。班上的女王同學愛德娜對她百般刁難，而最親愛的爺爺又頻頻出現反常的行為。廚房裡大人的竊竊私語、懸宕在空氣中的疑問，...more
",https://www.books.com.tw/products/0010864312?loc=P_0003_003
4,今天好嗎?公主殿下(增訂版),張友漁,2020-05-27,"
我十五歲，我懷孕了，就在我跟你說話的此時此刻，我肚子裡的宮殿正住著一位公主殿下。「如果有機會重來」這個問題你可別問我，因為人生是不可能跳過任何一段的。懂嗎?...more
",https://www.books.com.tw/products/0010859706?loc=P_0003_004
5,玫瑰崗的祕密(《浴簾後》二版),林滿秋,2020-03-01,"
急速抓住的友情，充滿了雜質；迅速發展的愛情，宛如泡沫……   在玫瑰崗中學最後的日子，我們都受了傷，但不要忘記那些美麗的日子。    一個隱身在浴簾後夜讀的女孩，與兩個來自不同國度的同窗結為手帕交。 ...more
",https://www.books.com.tw/products/0010849108?loc=P_0003_005
6,非一般同學,周淑屏,2020-03-01,"
成長路上，我們身邊總有一些非一般同學。   謹小慎微的我，跟著敢說敢想敢做的詠蘭，有了少年時代的冒險……   文武全才的可立，因一次意外，自此人生翻起巨浪……   比起作為風頭躉，德芬追求的卻是平靜安穩…...more
",https://www.books.com.tw/products/0010863526?loc=P_0003_006
7,西莉雅的祕密筆記,凱倫．芬尼佛洛克,2019-11-26,"
▎一本筆記本，讓她墜入抑鬱深淵；另一本筆記本，則是她苦澀人生的唯一救贖。▎   ▎十四歲前夕發生的那件事，讓西莉雅從此封閉自我，成為校園邊緣人，只將心中思想化為詩句寫進筆記本裡。筆記本是她傾吐祕密...more
",https://www.books.com.tw/products/0010841216?loc=P_0003_007
8,好朋友大對決,安德魯．克萊門斯,2019-05-29,"
一顆鈕扣，   會不會讓我失去最好的朋友?    ◆【粉靈豆校園小說】系列年度力作   ◆《紐約時報》《華盛頓郵報》《出版者週刊》《柯克斯書評》好評盛讚    葛蕾絲是名理科少女，但講起友情，她找不到科學的...more
",https://www.books.com.tw/products/0010822599?loc=P_0003_008
9,吹響吧!上低音號2：最火熱的夏天,武田綾乃,2018-09-01,"
▍首刷限定!隨書附贈28x21cm全彩封面摺頁海報 ▍ 少女的心事、飽含思念的音符……有一件事比得到金牌更重要! 「涼宮春日的憂鬱」、「冰菓」動畫公司「京都動畫」轟動校園 精采改編 各大網站熱烈討論 「吹響吧!...more
",https://www.books.com.tw/products/0010796639?loc=P_0003_009
10,少年f臉書奇遇記：一位失意少年的校園翻轉學習和社群網路歷險記,康寶,2018-04-13,"
當虛擬學習變成翻轉教室， 當社群網站成了犯罪天堂， 此時少年該如何應對?   失意少年邂逅社群網站，一段冒險與學習的旅程。   人工智慧對戰駭客病毒，一場人性與智慧的戰爭。   如果有一天，   學習不再...more
",https://www.books.com.tw/products/0010784800?loc=P_0003_010
11,那年我們,王文華,2018-03-08,"
★好書大家讀年度最佳少年兒童讀物獎★ ★新聞局中小學生優良課外讀物★ ★北市性別平等教育「閱讀心得徵文比賽」指定閱讀書目★   這篇小說由金鼎獎得主王文華老師所撰寫，故事主角是一個自認為平凡到了極點的...more
",https://www.books.com.tw/products/0010779315?loc=P_0003_011
12,光輝歲月,鄭立,2018-01-25,"
超人氣本土網絡遊戲「光輝歲月」原創小說 強勢登場   改編自鄭立同名手機遊戲回到八十年代一同經歷最美與最壞的大時代。以校園作社會的投影寫出人在理想與現實間之抉擇。   一九八八年的深水埔關雲長第一...more
",https://www.books.com.tw/products/0010777511?loc=P_0003_012
