,書名,作者,出版日期,內容介紹,網址
1,怪談(小泉八雲靈異故事全集)(第二版),小泉八雲,2020-07-03,"
《怪談》取材於日本本土最廣為流傳的民間故事，涉及的內容極其豐富，被譽為日本靈異文學的鼻祖。全書沒有華麗的辭藻，卻彌漫著強烈的日本傳統文學的獨特風味以及扶桑國濃厚的鄉土氣息。從某種意義上《怪談...more
",https://www.books.com.tw/products/0010863544?loc=P_0003_001
2,和泉式部日記(三版),,2019-06-21,"
一段飽受非議的禁忌之戀   一個兼有膽識和才華的女子日記   一封流傳超過千年的絕美情書   和泉式部是一位日本平安時代的女性作家，與《源氏物語》的作者紫式部、《枕草子》的作者清少納言鼎足而立，並稱...more
",https://www.books.com.tw/products/0010825632?loc=P_0003_002
3,美德的徘徊(二版),三島由紀夫,2019-03-20,"
三島由紀夫的不倫小說   沒有精密計算，三島寫得最為自然、放鬆的作品   節子出身門第高貴的家庭，在嚴格家教下成長，與父親決定的男人結婚，接受了普通男人都能給的入門水準之愛，也有了一個孩子。   看...more
",https://www.books.com.tw/products/0010815917?loc=P_0003_003
4,雨月物語(下),上田秋成,2019-01-16,"
●日本怪談經典‧首次發行完整正體中文版。   ●日本名導演溝口健二的名作《雨月物語》原作   ●小泉八雲《怪談》的起點，最奇詭艷麗的異界氛圍。   泉鏡花、谷崎潤一郎、佐藤春夫、林芙美子、三島由紀夫、村...more
",https://www.books.com.tw/products/0010810668?loc=P_0003_004
5,羅生門,芥川龍之介,2018-12-05,"
《羅生門》取材於古代典藉《今昔物語》，故事是說平安朝時代的京都，因連年天災而蕭條，連昔日香火鼎盛的古剎羅生門，也淪為狐鼠腐屍的巢穴。某日黃昏，失業僕人在廊下避雨，因走投無路而登上羅生門，打算...more
",https://www.books.com.tw/products/0010807288?loc=P_0003_005
6,雨月物語(上),上田秋成,2018-12-05,"
★日本怪談經典‧首次發行完整正體中文版。   ★小泉八雲《怪談》的起點，最奇詭艷麗的異界氛圍。   泉鏡花、谷崎潤一郎、佐藤春夫、林芙美子、三島由紀夫、村上春樹……   深愛的文學名著。   ★「故事」專欄作...more
",https://www.books.com.tw/products/0010806481?loc=P_0003_006
7,源氏物語,紫式部,2018-12-01,"
《源氏物語》是震爍世界文壇的日本古典文學鉅著，文筆細膩、情節曲折，詩、典故極多，譯者左秀靈老師為了使讀者欣賞這部鉅著，經過長時間的反覆研讀後，將其濃縮精譯，艱深難懂的部分口語化，讓讀者易於閱...more
",https://www.books.com.tw/products/0010810199?loc=P_0003_007
8,中日對照 竹取物語,,2018-12-01,"
《竹取物語》是日本古代小說的鼻祖，文筆簡潔、渾厚、天然，富漢文訓讀的要素，是假名文的黎明期作品。   本書內文包括竹取物語全文的現代日語譯文、古語原文、古語注釋，並有譯者左秀靈老師精譯的中文譯...more
",https://www.books.com.tw/products/0010810207?loc=P_0003_008
9,雨月物語,上田秋成,2018-12-01,"
《雨月物語》為脫胎於中國古老的怪異小說，譯者左秀靈老師以平易近人的筆法譯成中文，並有附加注釋，短者插入正文中，較長者附於每篇之末，使讀者能夠徹底欣賞，輕鬆閱讀。...more
",https://www.books.com.tw/products/0010810208?loc=P_0003_009
10,古事記,太安萬侶,2018-11-01,"
民初散文第一大家經典譯本，台灣首次出版， 日本第一部文史典籍，經典地位有如中國《山海經》! 《古事記》是日本第一部文字典籍，也是現存最早的日本文學與歷史著作，於西元712年由稗田阿禮口述，太安萬侶...more
",https://www.books.com.tw/products/0010802527?loc=P_0003_010
11,浮世理髮館,式亭三馬,2018-03-02,"
人生百態、庶民生活， 盡在一池清水裡、一張凳子上； 日本笑話始祖， 滑稽文學經典， 重現江戶風俗、風趣。   《浮世澡堂》、《浮世理髮館》，兩書是日本江戶時代古典文學中「滑稽本」的代表作品，鮮明的...more
",https://www.books.com.tw/products/0010779544?loc=P_0003_011
