,書名,作者,出版日期,內容介紹,網址
1,手作族一定要會的裁縫基本功(暢銷增訂版),Boutique社,2020-10-21,"
◆入門新手&手作老手都必備的裁縫工具書◆ ◆加入新的基礎技巧與疑難排解‧讓你的手作功夫更全面◆    從最基礎開始   平針縫   始縫結   止縫結   藏針縫   縫製鈕釦   縫紉機的用法   熨斗的用法    解決煩惱...more
",https://www.books.com.tw/products/0010873611?loc=P_0003_001
2,親手作寶貝的好可愛圍兜兜：基本款‧外出款‧時尚款‧趣味款‧功能款，穿搭變化一極棒!(暢銷版),BOUTIQUE-SHA,2020-10-12,"
人見人誇!實用又好搭! 3~12個月可愛寶寶必備の48款造型圍兜兜    家有小寶寶的人一定懂!圍兜兜再多也不嫌多!   從餵奶、餵副食品、進入流口水時期、順練自主吃飯……   不論在家或外出，一天換好幾條圍兜兜...more
",https://www.books.com.tw/products/0010872393?loc=P_0003_002
3,經典復刻版!可愛風創意布小物：零基礎，一次就上手!(內含詳細創意布小物教學書X嘟嘟行動車鑰匙包材料套組】完整影音教學,陳幼鍛‧威媽,2020-10-08,"
給第一次想拿針縫出可愛小包的妳， 零基礎也沒問題!會拿針就會縫，一定能完成 以可愛造型製作出日常隨身機能小包，自己動手做，讓每一天都能療癒放鬆好心情! 隨書附「創意布小物材料套組-嘟嘟行動車鑰匙包...more
",https://www.books.com.tw/products/0010872037?loc=P_0003_003
4,經典復刻版!可愛風創意布小物：零基礎，一次就上手!(內含詳細創意布小物教學書X和風鯉魚旗多功能隨身包材料套組】完整影音教學,陳幼鍛．威媽,2020-10-08,"
給第一次想拿針縫出可愛小包的妳， 零基礎也沒問題!會拿針就會縫，一定能完成 以可愛造型製作出日常隨身機能小包，自己動手做，讓每一天都能療癒放鬆好心情! 隨書附「創意布小物材料套組-和風鯉魚旗多功能...more
",https://www.books.com.tw/products/0010872038?loc=P_0003_004
5,迷你造型配件縫製手冊：袖珍小包&時尚小帽,関口妙子,2020-09-25,"
別出心裁的迷你小物裁縫手作讀本    小巧可愛的迷你娃娃是許多大人的收藏品之外，更是女孩們在成長階段時最好的朋友。替心愛的娃娃換上各式各樣的造型裝扮是不少人的樂趣，享受他們因為穿上不同配件和服飾...more
",https://www.books.com.tw/products/0010872379?loc=P_0003_005
6,第一次製作1/12袖珍娃娃服裝設計：基本款的縫製方法與訣竅,Affetto Amoroso,2020-09-23,"
服裝袖珍迷你，尺寸小巧，約在兩手間距內就可掌握，製作時不占空間，使用少量的布料就可製作完成。大家使用家中的碎布或是手作坊的零碼布料就可以輕鬆動手，我們還介紹了利用接著劑製作的方法，盡量減少需...more
",https://www.books.com.tw/products/0010869481?loc=P_0003_006
7,服裝版型研究室 外套&大衣篇：製圖、設計變化、打版的詳細解說，可以自由製作自己喜歡的外套款式,丸山晴美,2020-09-21,"
有了縫紉基礎，可以照著書籍完成作品的人，   若能夠自行變化、設計款式，應該會更有成就感吧!   這本書是製作外套&大衣時要了解的各部位的版型，   利用這些部位的組合和變化創造出各種設計，   可以自由...more
",https://www.books.com.tw/products/0010870262?loc=P_0003_007
8,服裝版型研究室 全系列套書：上衣、裙子、褲子、洋裝、外套&大衣的製圖、設計變化、打版等的詳細解說，可以自由製作適合自己尺寸的各種衣物,丸山晴美,2020-09-21,"
♣服裝設計者必備工具書♣ ♣詳細解說打版操作方法♣ ♣量身訂作個人專屬款式♣   看著縫紉書上美麗的成品，   總是心動，花了不少時間做出來，   雖然開心，但還是想讓樣式更多變或是更有設計感，   這時，你會...more
",https://www.books.com.tw/products/0010870341?loc=P_0003_008
9,一件有型.文青女子系連身褲&連身裙,Boutique社,2020-09-16,"
今天該穿什麼好呢?   每天出門前是不是都在衣櫥前猶豫不決呢?   要不要試試看起來灑脫又有型的連身褲，或是優雅又簡單的連身裙呢?   只要在裡面隨意內搭上襯衫、T恤、各種材質或不同顏色的上衣，就能穿搭...more
",https://www.books.com.tw/products/0010870332?loc=P_0003_009
10,Veriteco植物染的春・夏・秋・冬：摘採大自然四季收穫的植物作為染材，感受瀨戶內海島嶼氣息的染布日常,淺田真理子,2020-09-10,"
春.夏.秋.冬 隨著季節更迭，島嶼滋長著不同的花草， 採收大自然帶來的豐收染材，染出四季分明的鮮豔色彩。 透過作者的手作，感受瀨戶內海的生活氣息! 位在瀨戶內海上的豐島，有著原始的自然環境，一整年都...more
",https://www.books.com.tw/products/0010868997?loc=P_0003_010
11,可愛女孩的夏日手作服,藝風堂編輯部,2020-08-20,"
不管是看著心愛的人穿著自己做的衣服，或是為自己做衣服都是件美好的事!想像當小朋友指著身穿的衣服向朋友炫耀說：「這是我媽媽做的!」是一件多麼令人驕傲的事，也是許多媽媽們的夢想之一!為此，我們企劃...more
",https://www.books.com.tw/products/0010867845?loc=P_0003_011
12,袖珍娃娃迷你包,株式会社ブティック社,2020-08-14,"
袖珍娃娃迷你包，小巧又仿真的設計，令人愛不釋手。當作娃娃配件、房間裝飾小物或包包吊飾，搭配用途很多元，好玩又有趣。本書收錄各種包款設計，簡單好製作，少量布料就可快速完成。找找自己喜愛的款式，...more
",https://www.books.com.tw/products/0010867077?loc=P_0003_012
13,京都流美學手作 雅緻的和風布花日常創作集(暢銷版),土田由紀子,2020-08-07,"
在3cm2的布片間 推疊出纖細優美的美麗花飾   和風布花是利用正方形的小布片，以細緻的手工作業捏撮出圓形、劍形，再作出各種形態變化的傳統手工藝。但如今，和風布花已不再僅限於與「和服」或「正式場合」...more
",https://www.books.com.tw/products/0010866169?loc=P_0003_013
14,Cotton Life 玩布生活 No.34：多功能兩用袋中袋 × 夏日休閒下著 × 小學生通學布雜貨,,2020-07-22,"
封面故事   本期封面包款名稱為『絕美清新蛋形包』，將口金運用在包的外觀口袋上做變化，創意出新的樣貌，讓口金也能是配件般的增加包款獨特性與質感，與眾不同的提把設計兼具裝飾性，是款值得擁有的美包!...more
",https://www.books.com.tw/products/0010863978?loc=P_0003_014
15,娃娃服裝穿搭作法：甜美的童話故事：11cm、20cm、22cm、27cm 娃娃服飾,Rosalynnperle,2020-07-06,"
由受歡迎的娃娃服裝藝術家Rosalynnperle所出版的第一本有關如何製作服裝的書。對於那些想簡單做衣服，但也想更加了解如何製作衣服的人來說，“Doll Coordinates Recipe Sweet Fairy Tale”是最浪漫的，......more
",https://www.books.com.tw/products/0010863419?loc=P_0003_015
16,手作服基礎班 (三冊合購),水野佳子,2020-07-03,"
《手作服基礎班：畫紙型&裁布技巧book》   圖解.簡單明瞭   觀念.穩紮穩打   了解紙型與裁布.製作手作服更EASY!   是否常看到手作書中的原寸紙型不知該如何利用呢?   該如何才能把紙型線條畫得流暢自然呢?...more
",https://www.books.com.tw/products/0010862179?loc=P_0003_016
17,設計自己的襯衫&上衣‧基礎版型×細節設計的原創風格,野木陽子,2020-06-22,"
基本的襯衫與上衣，要怎麼營造出個人獨特風格呢?    看似簡單，其實包含了很多變化，例如：各種領型的變化、前襟的設計、身片的褶子與細褶、袖子的長度、袖口布的長度與造型……本書羅列了襯衫與上衣的各種...more
",https://www.books.com.tw/products/0010861280?loc=P_0003_017
18,服裝設計師教你紙型的應用與變化‧自己作20款質感系手作服,月居良子,2020-05-21,"
只要描繪一款身片紙型+其他設計部位 基本款紙型即可變身20款造型   為了製作不同款式的服裝，常常需要描繪很多紙型，   但其實不需要太多紙型，也可以變化出豐富的設計款式喔!   本書的身片紙型只有一種，...more
",https://www.books.com.tw/products/0010858348?loc=P_0003_018
19,簡單×好作‧初學35枚和風布花設計(暢銷版),福清,2020-04-17,"
初學和風布花的第一本入門推薦書籍! 試著以基本的「劍形」&「圓形」作法， 在捏布&黏貼的過程中， 作出充滿四季色彩の美麗和風布花飾品吧!   所謂和風布花是屬於日本傳統工藝的一種，它是將裁成正方形的布...more
",https://www.books.com.tw/products/0010854485?loc=P_0003_019
20,設計師媽咪親手作‧可愛小女孩的日常&外出服,鳥巢彩子,2020-04-17,"
作者鳥巢彩子在照顧小孩時，利用午休時間製作孩子的衣裳，發現這是最療癒又開心的娛樂時間，完成作品時的感動更是無法言喻!就這樣一件又一件的製作，也開始夢想其他小孩也能穿上這些兒童服裝。就從這個原...more
",https://www.books.com.tw/products/0010854444?loc=P_0003_020
21,好想自己做衣服2：超圖解技巧1500張!完美縫製細節，輕鬆穿搭舒適有個性的日常時尚【超值附錄|20件M、L、FREE全尺寸紙型】,吳玉真,2020-03-28,"
零基礎OK!手作衣技巧全圖解 完美細節的進階技巧 × 一看就懂的裁布圖 ×適合各種身型的流暢剪裁  懂得穿衣服是一種時尚， 但如果還能親手縫製想穿的款式， 更讓每日穿搭充滿量身定做的進階樂趣!  〔本書特色...more
",https://www.books.com.tw/products/0010852086?loc=P_0003_021
22,男西裝外套縫製經典：國際金獎裁縫師陳和平的手作筆記,陳和平,2020-03-19,"
由國際金獎裁縫師陳和平先生親自示範製作，見證一件男西裝外套的誕生!   本書共分為基礎篇、加強襯篇、口袋篇、領袖篇與成品展示五個篇章，並利用五百多張圖示照片與尺寸標記，將縫製男西裝 外套過程中的...more
",https://www.books.com.tw/products/0010849955?loc=P_0003_022
23,Cotton Life 玩布生活 No.33：2020春夏流行色與包款╳百搭洋裝/上衣╳功能性時尚女包╳必備實用小包,,2020-03-18,"
封面故事   對手作服飾有興趣的人日益增加，穿上手作的衣服外出不再擔心撞衫，除了設計上合身外，也具有流行性，開始與精品服飾的成衣大同小異，因而逐漸引起關注。靠自己的雙手結合創意與時尚元素，製作...more
",https://www.books.com.tw/products/0010850939?loc=P_0003_023
24,Dolly bird Taiwan vol.2 甜美人偶娃娃特輯,Hobby Japan,2020-03-13,"
這次送上的是「Hug Me Poi」與「cocoriang動物人偶」以及「黏土娃」的2大特集，可動式的短手、短腳動物玩偶，約可放在手掌中心的尺寸設計，這就是可愛的Hug Me Poi，也是cocoriang的動物玩偶系列大特集派...more
",https://www.books.com.tw/products/0010851214?loc=P_0003_024
25,訂製日系質感大衣：升級你的洋裁世界，挑戰值得珍藏的經典,かたやまゆうこ,2020-03-06,"
挑選心儀的樣式，選用喜歡的布料，   打版、裁布、縫製、加上副料，   一步步完成質感大衣!   從不須收邊的簡易大衣到風衣、牛角釦大衣。   以5種基本款加上變化，製作18種樣式。   如果你曾經嘗試過手作...more
",https://www.books.com.tw/products/0010851368?loc=P_0003_025
